t,x
438,-2.14049207428959
439,-2.1151499996889913
440,-2.1960969778667447
441,-2.2352826266215615
442,-2.4138319878013332
443,-2.458115008534445
444,-2.4495265020844967
445,-2.472235776709599
446,-2.4974412400404176
447,-2.6087403557611553
448,-2.591293415878688
449,-2.4520294072553024
450,-2.673540396524498
451,-2.6768684206729567
452,-2.671622759212205
453,-2.70779311698862
454,-2.6842720634376325
455,-2.6825956182478166
456,-2.6799113122612956
457,-2.6646328463916213
458,-2.6648435905894408
459,-2.7251002231090498
460,-2.2750283184063824
461,-2.181380786262763
462,-2.0229788266130093
463,-1.9866743301693044
464,-1.9281611288347336
465,-1.9206565103472666
466,-1.8779273075617402
467,-1.7638554484592
468,-1.764651597742804
469,-1.7684246355634914
470,-1.7501174986576724
471,-1.7410348293818558
472,-1.730009618329801
473,-1.6786958703085728
474,-1.6655840580099093
475,-1.6507746929070206
476,-1.6320137190307757
477,-1.5763297061405181
478,-1.5607416988373461
479,-1.5560178168505798
480,-1.622318197629691
481,-1.6434519835846784
482,-1.7278775169271765
483,-1.766814372194726
484,-1.7925696820622914
485,-1.81791241660928
486,-1.8371867382283664
487,-1.8259590527078364
488,-1.827962411209928
489,-1.8371879903872579
490,-1.8617957388058624
491,-1.8622610427274724
492,-1.8801062337141903
493,-1.8940190765215956
494,-1.9151974356851436
495,-1.8497943326031423
496,-1.8591300627434608
497,-1.934281174768571
498,-1.9010892024587531
499,-1.9173935807832212
500,-2.002353683760295
501,-2.0035830027711374
502,-2.018212674965573
503,-1.7773814775034993
504,-1.6756926533851504
505,-1.6739857112646264
506,-1.64901370686492
507,-1.6149302675780297
508,-1.6061885600863224
509,-1.6063994541357551
510,-1.589607322231607
511,-1.567493796047412
512,-1.5314549516380456
513,-1.5128080339470389
514,-1.51428769553721
515,-1.5084955244222518
516,-1.5188838397757416
517,-1.4777195975488457
518,-1.5158901778629246
519,-1.5057200146231569
520,-1.4826834623426624
521,-1.4509165763679586
522,-1.3975307619616084
523,-1.4648956626912455
524,-1.4922685419360489
525,-1.4486995467461197
526,-1.4635129439357197
527,-1.5248094270153136
528,-1.4383984013054145
529,-1.4366967225758172
530,-1.3610209866688836
531,-1.3932492946324893
532,-1.4068355694194645
533,-1.4334738864416376
534,-1.3730878421557866
535,-1.3459461446736998
536,-1.329427468178532
537,-1.3615016503802109
538,-1.3683861946872506
539,-1.374363900130599
540,-1.3977576549168633
541,-1.39934243619222
542,-1.444301240573873
543,-1.443774789348894
