t,H=0.1,H=0.2,H=0.3,H=0.4
5.800000000000000294e-02,9.856216874702523612e-01,8.327311347960517640e-01,9.798485386453198442e-01,9.944938872558191090e-01
5.900000000000000383e-02,1.050790198272352649e+00,8.684942973764437912e-01,9.875129871603807175e-01,9.964697863742142392e-01
5.999999999999999778e-02,1.014961440522385017e+00,8.469928140489595414e-01,9.741875861708783058e-01,9.966752171223072221e-01
6.099999999999999867e-02,9.217300322132957469e-01,8.859830344068281294e-01,9.908000086619821456e-01,9.984518636605584918e-01
6.199999999999999956e-02,1.035349440744110172e+00,8.414806753220746005e-01,9.942548557706963885e-01,1.002376022906885433e+00
6.300000000000000044e-02,9.903573035479956710e-01,8.713430160272852554e-01,9.875526710940768504e-01,9.983199498400487926e-01
6.400000000000000133e-02,9.899950244042973191e-01,9.034690355866151767e-01,9.786349734213145579e-01,9.960276891366325325e-01
6.500000000000000222e-02,9.368530581392281453e-01,9.102359760463258898e-01,9.673433799095245700e-01,9.960634614996248803e-01
6.600000000000000311e-02,9.262341809740077814e-01,8.876895320084323693e-01,9.883705709494997604e-01,9.963558930657019364e-01
6.700000000000000400e-02,1.026875945329807305e+00,8.442033486659110686e-01,9.954003648846621033e-01,1.011886936692926620e+00
6.800000000000000488e-02,9.588167634497601899e-01,8.407456502054870828e-01,9.850431547379548958e-01,1.003623865556122485e+00
6.900000000000000577e-02,1.024012735997807511e+00,8.643231032598239771e-01,1.001324650614236811e+00,1.003672920834872695e+00
7.000000000000000666e-02,1.055594353582089528e+00,8.461649383583426109e-01,9.898372727809076066e-01,9.912182038113528382e-01
7.100000000000000755e-02,1.018266362758532217e+00,8.376424011163431382e-01,9.852407112232147712e-01,9.909713604554936106e-01
7.200000000000000844e-02,9.787274540340262785e-01,8.460326366140237253e-01,1.008924798708479953e+00,9.859823745474739498e-01
7.299999999999999545e-02,9.927207337555342681e-01,8.426709309588266139e-01,9.851994137734420010e-01,9.928418957290926494e-01
7.399999999999999634e-02,9.438673734531294324e-01,8.640311073633303307e-01,1.000453150561777083e+00,9.866436739187054439e-01
7.499999999999999722e-02,9.737150489157315736e-01,8.738309741249259410e-01,1.031501078212787359e+00,9.828598697464931977e-01
7.599999999999999811e-02,8.955355190768046203e-01,8.896592691447050560e-01,1.022737632728768498e+00,9.787918234688133268e-01
7.699999999999999900e-02,9.377684021087094868e-01,8.724319993770247583e-01,1.032593148559019625e+00,9.885602412760949864e-01
7.799999999999999989e-02,9.508154080064917801e-01,8.436201256325924769e-01,1.019489659324631647e+00,9.848166775454525457e-01
7.900000000000000078e-02,8.991708462321550410e-01,8.460281912997773546e-01,1.009597263656422106e+00,9.914354578910673510e-01
8.000000000000000167e-02,8.699175076115845950e-01,8.492434518480259653e-01,1.024948372446820688e+00,1.002827345800181069e+00
8.100000000000000255e-02,9.310279323774336424e-01,8.517981778366483514e-01,1.033088789551106723e+00,1.004503874743797320e+00
8.200000000000000344e-02,9.906025777844472691e-01,8.664822517796607615e-01,1.026444877573765568e+00,1.005614384774511372e+00
8.300000000000000433e-02,9.300209299268629159e-01,8.429243699123765143e-01,1.033393351993348031e+00,1.003948700145336437e+00
8.400000000000000522e-02,9.438972727657571893e-01,8.796654255631993768e-01,1.048077546702387064e+00,9.944962458791922755e-01
8.500000000000000611e-02,9.080720239616407730e-01,8.424417767684151404e-01,1.020312843463416996e+00,9.880289639788929490e-01
8.600000000000000699e-02,9.670392068115458706e-01,8.688668457688998314e-01,1.038404792546082422e+00,9.852439620849751112e-01
8.700000000000000788e-02,9.484175747039575999e-01,8.781230349297565185e-01,1.041210911536568196e+00,9.870886352657544105e-01
8.799999999999999489e-02,9.431526393643253625e-01,8.451307591858946422e-01,1.036423803135366306e+00,9.923725576694474304e-01
8.899999999999999578e-02,1.017358420080237025e+00,8.377285958138248612e-01,1.037235541138910921e+00,9.945942355995547324e-01
8.999999999999999667e-02,9.355060187296986296e-01,8.179615533876996025e-01,1.040566500952115447e+00,1.008322165108852753e+00
9.099999999999999756e-02,9.886675627220591345e-01,8.648847460745634486e-01,1.039527939867219475e+00,9.972168263747793748e-01
9.199999999999999845e-02,9.484282017016473221e-01,8.509483252534503217e-01,1.032139232180365296e+00,9.998568809988798156e-01
9.299999999999999933e-02,9.401996803515825230e-01,8.556904299814771520e-01,1.023730053034347165e+00,9.994568427817627221e-01
9.400000000000000022e-02,8.973605636581694078e-01,8.617047404106761288e-01,1.015329323671249506e+00,1.006166944892274095e+00
9.500000000000000111e-02,9.436302506467394435e-01,8.568598179556146111e-01,1.031590829773207263e+00,1.012350831318455935e+00
9.600000000000000200e-02,9.749028667229248102e-01,8.394053429459642501e-01,1.022363048407564312e+00,1.003292942341242000e+00
9.700000000000000289e-02,9.459447718522224768e-01,8.433864121050697049e-01,1.022439652317491676e+00,9.950089071705058297e-01
9.800000000000000377e-02,9.803342711231252116e-01,8.651463427850684118e-01,1.023685720671531740e+00,9.849462132143026460e-01
9.900000000000000466e-02,9.211556227951122056e-01,8.145926711536829457e-01,1.016431251240929257e+00,9.875466101702451427e-01
1.000000000000000056e-01,9.313466180494607283e-01,8.450094321624996851e-01,1.025308763131554946e+00,9.852306973058662098e-01
1.010000000000000064e-01,9.299701234181801945e-01,8.624570387390704251e-01,1.044142208415502315e+00,9.879713101837213074e-01
1.020000000000000073e-01,9.888602075309903539e-01,8.268499214379700923e-01,1.034082936643128336e+00,9.978992513568544220e-01
1.030000000000000082e-01,9.878678540327155977e-01,8.264016651988311812e-01,1.028614961316437260e+00,9.903020914246253303e-01
1.040000000000000091e-01,1.052121433761308733e+00,8.424533856625324724e-01,1.027198185780910045e+00,9.939834411444956608e-01
1.049999999999999961e-01,9.614846926971409857e-01,8.679790791858210675e-01,1.022639217875981110e+00,9.858594410722917312e-01
1.059999999999999970e-01,1.054131102033581513e+00,8.596178940251036904e-01,1.034518004608147690e+00,9.871520297784774911e-01
1.069999999999999979e-01,1.027572077526897276e+00,8.218864802688514715e-01,1.019944657406077093e+00,9.922119803966726881e-01
