t,alpha=-2,alpha=-10,alpha=-20,alpha=-50,alpha=-100
4.000000000000000083e-02,1.152867395354188362e+00,6.900862825580021953e-01,3.819245614145008183e-01,2.542235666633293478e-01,1.319138659160780658e-01
4.100000000000000172e-02,1.142555091717261551e+00,6.658843903465410108e-01,3.569327328355391682e-01,2.564719205590077489e-01,9.876450532454815467e-02
4.200000000000000261e-02,1.184937028841637874e+00,6.962882216284682624e-01,3.060911006031973303e-01,2.520751109298547399e-01,9.941181570056087380e-02
4.300000000000000350e-02,1.242696273758611358e+00,6.403254455249216548e-01,2.826171265993943083e-01,2.375084850229070010e-01,2.489620613993162590e-02
4.399999999999999745e-02,1.280927309760132804e+00,7.058001587376698804e-01,2.433845737162280698e-01,2.455977043022640471e-01,-9.997774457707980095e-03
4.499999999999999833e-02,1.241696817739670555e+00,6.896377230378947232e-01,2.417679702411311971e-01,2.810084407661290196e-01,3.587614579494853573e-02
4.599999999999999922e-02,1.194079545259191466e+00,6.637369363403534672e-01,2.522678513531018130e-01,2.453868586772348093e-01,-7.096402039294416597e-03
4.700000000000000011e-02,1.192517997576755251e+00,6.631214764432538100e-01,2.354219780308040300e-01,1.703303900007512306e-01,2.514908276972172702e-02
4.800000000000000100e-02,1.227622692181894237e+00,7.113752529409639314e-01,2.375757750634120702e-01,1.653801290604563212e-01,-1.373363102216211204e-02
4.900000000000000189e-02,1.200209199065663146e+00,6.435810463581147500e-01,2.139470885570012026e-01,1.999778595794104163e-01,1.872875278266473986e-02
5.000000000000000278e-02,1.144904215836155315e+00,6.303120392658091431e-01,1.555262011199930461e-01,1.694417374192487835e-01,5.296645583150885739e-02
5.100000000000000366e-02,1.074115886301778566e+00,6.511855218587337957e-01,1.353094966808136290e-01,9.666680033955445117e-02,7.150598903077040602e-02
5.200000000000000455e-02,1.022316988836549756e+00,6.288923659630593077e-01,1.384864888665138793e-01,7.544375918436557749e-02,1.480675298084058872e-02
5.299999999999999850e-02,1.025482807409695551e+00,5.971252869838493682e-01,1.524551775809505072e-01,9.697679660000539659e-02,-1.878670340098989588e-02
5.399999999999999939e-02,9.718267320893385630e-01,6.003431489182652347e-01,2.053128120312387728e-01,1.508587251568191678e-01,-5.278362208625880098e-02
5.500000000000000028e-02,9.764081226960918958e-01,6.531222635936491105e-01,1.260265708145524577e-01,1.393123739809110084e-01,-7.847904489311265108e-02
5.600000000000000117e-02,9.423756080771911181e-01,6.633072857228862196e-01,9.005236760317233968e-02,8.913866198199082991e-02,-7.589118938352898414e-02
5.700000000000000205e-02,9.301723392301964877e-01,5.989432044500021535e-01,1.090125520115046848e-01,4.995068798715049385e-02,-8.144569359904735295e-02
5.800000000000000294e-02,9.072711435053453233e-01,5.959706605794988787e-01,1.000915427331266899e-01,6.271326411504246634e-02,-6.708987507068216172e-02
5.900000000000000383e-02,9.024241503742460591e-01,6.002953726552625602e-01,1.211067881017249548e-01,5.612487320985755368e-02,-7.881809886154060585e-02
5.999999999999999778e-02,9.250028454628113073e-01,5.775547806373995119e-01,1.514435009785593811e-01,3.681585036852950965e-02,-7.575375833494459032e-02
6.099999999999999867e-02,9.132696519129199775e-01,5.943730081492163420e-01,1.525712527546412289e-01,1.667803517760232598e-02,-3.353538004888891727e-02
6.199999999999999956e-02,9.213466257970382989e-01,5.863494260457916551e-01,2.148569721757582762e-01,1.445163989108719238e-02,-6.072514641583183492e-02
