,Date,ar1_short_memory,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
948,0.949,0.20597169,14.923627,-7.9920125,17.073742,-17.98252,2.1246994,-20.695839,7.1567445,-6.229007,-12.225342,-8.494766,4.686779,-10.700842,10.918039,-0.23497662,1.2950763,21.440609,27.178692,-4.073347,-10.357716,4.2216787,0.15471569,10.160112,17.725758,13.087345,7.877252,14.662337,-8.062133,10.209622,14.998248,11.438029,0.6109622,-2.0231795,22.493616,1.8976849,19.425251,-24.125051,7.8198786,13.471141,6.084357,3.6052592,13.87799,-31.482855,-14.238209,4.5893025,-0.6110678,8.986301,1.7998188,-0.8352418,2.5882587,-6.216725,2.1684256,-4.633876,5.3806024,-20.936394,9.358846,6.8734503,-1.6225762,-18.212156,13.532647,26.071054,1.5998415,-8.481632,-18.532139,10.692822,20.54456,5.347378,6.965208,-2.14883,-0.011606379,8.710366,3.1840734,11.26158,7.4159007,-8.397486,6.000039,-16.537573,-14.241755,9.069673,-13.5304165,-3.7645378,4.6025476,7.143004,0.98878074,11.641672,5.529093,32.867943,-10.512691,23.36791,18.55779,16.581572,21.279902,22.134,-11.163913,23.994728,20.36281,0.5373773,14.857938,11.26013,-7.567817,-11.665348
949,0.95,-0.31855133,15.442763,-6.2190537,15.449571,-17.532175,0.7512546,-21.581858,6.884999,-6.103501,-11.447776,-8.568394,5.7270784,-10.54105,12.030968,0.18071286,1.1152464,20.885918,26.516705,-3.2423675,-11.650775,4.991227,-1.7106228,8.794075,17.268305,13.199595,8.556776,14.524521,-9.360207,10.391845,15.63126,11.937046,0.24064235,-1.777841,22.143305,1.2686424,19.53159,-24.257782,8.047128,14.450554,6.143042,4.626563,14.0248575,-30.87061,-13.76815,4.3603187,-0.7194897,8.944393,2.7348707,0.2933872,1.837149,-6.6621356,1.6418611,-5.1089864,3.622873,-22.424866,8.297234,6.0546193,-1.4166864,-18.109282,13.060887,26.025335,0.2560334,-9.208786,-18.538551,9.829637,21.145975,6.2518063,7.9649415,-2.6540265,0.45753607,9.048158,3.895636,11.682579,7.0303807,-7.540571,5.8344846,-16.538366,-13.908475,8.945689,-13.5782175,-4.190586,5.622392,6.8851757,1.1326174,12.592492,4.5510283,32.982216,-11.312872,21.96858,18.238728,17.780546,21.10372,22.583385,-10.752242,23.661705,19.264353,1.3619328,14.1558695,11.549878,-7.264073,-11.012213
950,0.951,-0.68255424,15.525403,-6.2613263,15.776015,-16.842194,0.8636003,-21.564083,6.6128397,-6.5616603,-11.154945,-8.406646,5.736065,-11.084512,12.129446,0.20021039,-0.14809993,20.668985,27.89741,-4.383715,-11.84315,3.6795015,-1.3600641,9.58201,17.678272,13.585549,7.902232,14.954714,-9.130731,8.752749,15.49056,12.642191,0.8376887,-1.5149211,22.961056,2.4291162,18.315907,-24.314802,9.262595,15.499937,5.420237,3.1106024,14.311929,-29.021051,-13.771273,4.4057736,-2.162256,8.82734,3.0942535,-0.62718976,1.830452,-6.202975,1.0155356,-4.9802613,4.07637,-21.661991,7.2531257,5.4982667,-0.58862,-16.682,13.620119,26.332783,1.4869267,-10.468053,-18.169706,11.699853,20.734032,7.6954527,7.7766232,-1.8681715,1.1735461,8.852591,3.6190765,10.505738,7.4285717,-7.38552,6.6982975,-17.036407,-14.179998,10.18382,-13.566776,-5.2373905,5.7361107,7.0721974,0.7239275,12.789498,5.564397,32.89758,-10.852233,21.786194,18.353683,18.983913,22.385817,21.996819,-10.446473,23.59361,19.493374,0.5467917,14.92347,12.106637,-7.5741243,-10.025056
951,0.952,-0.33654854,16.489462,-5.2286677,14.880897,-16.41181,0.6591683,-23.285778,7.601048,-6.380421,-11.475392,-8.47534,6.5930943,-10.376376,12.470312,0.6501516,0.13637668,20.964561,27.975464,-3.592135,-11.681811,4.1990175,-1.1619183,9.497353,17.303638,12.5320215,6.3774457,15.884467,-10.860917,7.8299193,15.001942,12.497124,-0.28118804,-0.6636442,21.68184,3.324784,18.196047,-24.216967,9.276123,15.604138,5.785723,3.1066344,14.242005,-28.350607,-13.093491,5.0427585,-1.9539485,9.484487,3.2701955,-0.2365877,2.5462153,-4.963914,1.8434699,-5.0720644,4.4287677,-21.156199,7.4448614,4.854889,0.15679085,-17.415913,13.996991,26.710651,0.6971332,-10.843979,-18.381453,12.532727,21.487335,6.942229,6.7646146,-1.2060711,0.97795576,8.345383,3.1262686,11.228953,6.9642224,-6.379952,6.949116,-16.187828,-13.754612,10.983449,-12.943932,-4.553545,5.77476,6.3061266,1.1850094,12.902148,6.3213024,32.190346,-9.345367,21.773476,18.865612,18.615046,22.84696,22.209171,-9.773157,23.812767,19.629955,1.2514337,15.174761,12.664515,-7.108696,-10.530725
952,0.953,0.19454914,16.548489,-5.0718446,13.816309,-16.24295,1.1705277,-22.98855,7.8286057,-5.5529094,-13.57752,-8.403997,5.8576283,-9.363652,13.157667,-0.43866646,0.6943889,20.721352,27.144045,-4.1902356,-10.479205,3.9764154,-1.3503251,9.41914,17.807999,12.600485,5.777096,15.253881,-11.340277,8.653512,14.75211,13.135983,0.035076596,-0.4886359,21.19881,3.3885503,17.432266,-23.670948,10.569522,15.025323,5.04588,2.086525,13.29064,-29.195631,-13.344705,3.7802272,-1.4717009,9.500173,3.8184884,-0.32182387,1.6871351,-5.360387,2.6341982,-3.9892564,4.666344,-21.307291,6.9190693,4.9477057,2.018206,-17.080215,14.503332,26.761665,0.39242885,-10.425113,-17.394402,12.14589,21.249813,7.378816,8.111563,-2.0465715,2.2878673,7.954038,2.7365932,11.904283,5.6982136,-6.189155,6.2248755,-15.872513,-13.694639,10.392147,-12.35169,-3.3543556,6.369436,6.4043136,-0.018249298,14.517668,6.366998,31.2219,-9.525034,21.596865,19.89437,18.974808,21.897608,22.272797,-7.7660294,24.171928,20.105795,1.4680177,15.21236,12.665789,-7.2607837,-9.982302
953,0.954,-0.724317,17.743717,-5.5706153,13.894785,-17.616096,-0.20123197,-23.727768,7.229136,-5.417622,-13.186373,-8.047085,6.527263,-10.161101,12.629605,-0.42804486,0.026108872,21.191027,26.470366,-4.097996,-9.481653,3.2585309,-0.78939575,9.723464,17.200773,11.695124,5.7391353,15.573249,-11.021712,8.819469,13.883733,13.359505,-0.19318482,-0.7558928,21.856808,3.2619798,18.068254,-23.398151,11.298277,16.12039,6.782613,1.858933,13.674352,-29.960688,-14.571581,3.8380437,-1.4783893,10.425257,4.1920233,-0.80164886,2.1541736,-5.643126,1.838263,-4.415363,4.9428234,-22.265179,7.998446,4.9153757,3.137872,-17.42864,15.340404,26.380651,0.73508936,-11.680117,-17.820791,11.973467,21.331793,7.3298225,7.4377127,-1.3453583,1.6747828,8.032946,2.459605,11.598538,6.4974113,-4.557338,5.168748,-14.769669,-13.275328,9.947271,-13.552516,-3.19969,5.638335,6.4385586,-1.2907838,14.592604,5.7779016,30.141201,-9.903353,20.293213,19.899656,19.809278,21.569244,20.522816,-7.91592,23.938566,19.183851,2.2042053,14.940369,13.004797,-7.1884127,-10.280618
954,0.955,-2.4953897,17.302423,-6.3153076,13.85978,-16.504389,-0.058308646,-22.557594,8.1033945,-5.9819527,-14.132509,-8.225101,7.0131035,-10.573489,12.947509,-0.8805009,-0.5847638,20.78037,27.173994,-3.7177663,-10.250226,2.4492002,-1.703868,9.18608,17.928852,11.948564,5.05046,17.47005,-10.324943,8.459988,13.299218,13.062583,1.3614924,-0.41714594,21.39747,2.7855222,17.586332,-22.798256,11.226203,16.10146,7.065569,2.3049152,13.979059,-31.342121,-14.162883,3.9939005,-0.8439106,12.175034,3.3545122,-1.0099528,2.3045301,-8.160077,1.7433605,-4.791297,4.693081,-21.32919,9.666958,4.4524555,2.4318655,-17.245394,16.11976,26.563452,0.96457475,-11.914145,-17.485132,12.135092,21.748064,8.212413,7.4098563,-1.8416915,1.210951,8.521221,3.5580456,10.675796,5.7624993,-4.1118793,5.41873,-16.60542,-13.932063,11.093014,-14.147631,-4.419581,6.6545978,7.257977,-1.0025781,15.9843645,5.7145224,30.356314,-9.152444,20.901207,21.196112,19.895187,20.523136,20.895372,-7.79555,23.229794,19.47473,1.6330764,13.437253,13.148787,-6.6728,-10.279767
955,0.956,-2.3256333,17.398954,-6.622754,14.388091,-17.316341,-0.43611103,-23.892939,8.910645,-5.7076826,-13.108814,-9.634435,7.338891,-10.63657,12.5321045,-0.732773,-0.47480583,21.632818,27.333557,-4.84447,-11.937604,2.3537452,-1.7747446,9.41301,17.07638,12.62527,5.4959426,18.724228,-10.205605,8.49505,13.360637,13.388297,0.7798159,-0.43651634,19.886532,3.3093905,17.469961,-24.023306,10.928951,17.101059,6.7651,2.2513037,13.881515,-31.544773,-14.097134,4.208258,-0.42688337,12.092959,2.8479986,-2.137359,3.4512124,-8.497084,2.615863,-3.9922962,4.480093,-19.800114,8.667137,4.889017,2.467081,-17.613993,16.285067,26.168169,0.8938067,-11.080071,-17.659624,13.095375,22.906145,7.6064277,7.626347,-1.6171567,1.953669,8.621189,2.8756492,10.001603,5.4253407,-4.2414193,4.9565234,-17.103657,-14.434766,11.69238,-13.328805,-4.7204323,6.896433,7.617565,-1.7389383,15.81086,6.0168676,29.260698,-8.210549,21.45876,21.764505,18.949905,20.776253,19.854097,-9.061898,22.353558,19.679214,2.3885853,13.924654,13.845172,-8.241538,-10.2537365
956,0.957,-0.51262665,16.73826,-6.57531,13.0842905,-17.969574,-0.5359897,-23.867891,10.220467,-4.8161945,-12.401318,-8.434823,7.6119967,-10.355736,11.668971,-0.8186477,-0.91945606,21.494553,28.25333,-5.4151487,-12.430242,2.6927898,-2.0970376,10.249616,17.474731,11.065273,6.81339,19.04855,-11.039542,8.943091,13.155522,14.403688,0.4676047,0.16111696,19.286694,4.1960187,17.989391,-23.513653,10.504682,18.201231,7.3949676,1.3934382,12.654716,-29.524487,-13.924436,3.1257432,-0.88885707,12.074336,2.4521308,-1.541497,3.5374749,-7.6893616,3.938948,-3.2281137,3.4527297,-19.260628,7.5757594,5.0842614,1.8193128,-17.368187,15.28151,26.928057,1.600504,-11.370392,-17.5407,13.19321,23.155472,7.402806,8.019501,-2.0102365,2.5187879,9.634126,3.2060223,9.9867525,4.1149297,-3.5143867,3.4271228,-17.701591,-14.674255,12.18763,-13.8088255,-3.4926317,7.6868935,8.078239,-1.984364,14.674719,4.9625416,30.01146,-8.025988,22.341404,21.874557,18.79169,19.608139,19.632015,-8.8267565,22.54409,20.047659,2.055182,13.022435,14.2595005,-7.6948886,-9.733149
957,0.958,1.5503333,16.79938,-6.9235153,12.335941,-17.090075,0.09693841,-23.932312,11.50774,-4.8316793,-11.488826,-7.921551,7.6573815,-10.9314785,11.544025,0.68859637,-0.1739058,20.93626,28.133297,-4.5074296,-13.139851,4.461954,-2.6383939,10.480497,16.906534,10.573373,6.186112,18.995697,-11.1825695,9.861057,14.249859,13.384639,1.0062155,-0.60101545,19.070904,3.5240886,16.643082,-23.497337,9.368321,18.183048,8.2094145,0.78702605,13.153652,-30.59186,-13.793667,3.701164,0.2012907,12.185635,2.683063,-1.1515111,3.2911935,-8.242201,3.7262785,-2.3942835,4.1024036,-19.10941,6.680581,5.839355,2.064321,-16.232098,15.753813,27.434364,1.3401096,-10.797448,-18.701485,15.289944,23.632723,7.48271,7.754055,-2.6779237,3.7266402,9.492899,3.4803402,9.476493,4.655012,-5.6535892,3.4899147,-16.742756,-14.539722,13.24603,-13.706125,-3.5234897,7.06171,7.965086,-0.9249163,14.389728,4.9935403,29.49115,-8.952598,23.081161,21.832512,19.853226,19.813412,20.317001,-10.7648535,21.6152,19.968296,1.8659158,12.517585,13.868923,-8.055116,-10.5031185
958,0.959,-0.48467875,17.066801,-6.825209,11.678667,-16.827291,0.732499,-24.96526,10.83398,-4.7582774,-12.388226,-8.553299,8.596141,-10.944329,12.126494,-0.10109215,0.19374833,21.500172,27.743998,-4.7514114,-11.734524,5.4773626,-1.3470033,10.889263,16.741243,9.656267,5.9358587,19.533632,-11.72217,10.658755,14.392531,13.170025,-0.60856235,0.060896344,19.804808,3.1905327,15.970787,-23.16016,8.467567,18.333128,7.715945,0.91082597,14.093022,-31.582603,-13.575987,3.9628441,1.7791498,10.887386,2.6444623,-0.7323574,2.801418,-8.963731,2.595443,-3.3116767,4.0208898,-18.597355,6.4159627,6.87537,1.3431998,-15.893888,15.569132,26.988453,1.4045255,-11.082921,-19.351479,16.048119,23.526167,9.149767,7.6695356,-3.2614188,3.80887,9.896912,2.924839,8.720332,7.030961,-5.710034,4.119858,-14.968672,-13.979927,13.155645,-14.555074,-4.6874423,7.780848,7.01323,-1.1381321,13.000941,4.771771,28.809679,-9.430963,21.952919,22.378702,20.305403,19.400877,20.645576,-9.869673,20.92455,19.598042,1.254112,12.493695,11.825128,-8.649191,-10.431063
959,0.96,-0.88240594,17.744438,-8.08474,12.105563,-17.424643,1.0016723,-25.40011,10.4315405,-3.476851,-13.56424,-8.8657255,7.8019514,-10.467534,12.103647,1.0512606,0.33546954,21.945839,28.695066,-5.0916705,-10.608696,5.463723,-0.15063265,12.756657,16.415031,9.866215,5.3781,18.33959,-11.780686,11.776056,14.911288,13.250422,-0.25725612,-0.280646,21.019299,3.299286,17.19548,-22.985863,8.272409,17.842455,6.6632376,-0.41221115,13.307945,-31.627707,-13.324971,4.043679,1.5282296,10.569126,2.3720765,-0.21193194,2.8126092,-9.158864,2.9751327,-2.345017,4.1771493,-18.530962,6.4672894,7.6376433,1.4282882,-15.501727,14.811471,28.782877,0.579995,-10.972554,-20.381626,16.242435,23.467285,10.289348,8.377205,-3.323686,4.2268534,9.797965,2.7439642,8.279306,6.8843236,-5.7846556,3.4324217,-14.6021595,-13.920816,12.744406,-15.527831,-5.691811,8.438262,6.2637897,-1.5003644,14.319311,4.9232345,28.690365,-9.35852,21.764267,22.319096,20.640913,19.692013,21.444921,-9.77739,20.844673,18.464277,0.09998478,12.020959,11.611506,-7.859345,-9.640988
